iteration,reward_mean,length_mean,games,loss
1000,-0.88,2.12,8,0.10424681007862091
2000,-1.0,2.0,8,0.08342789113521576
3000,-1.0,2.0,8,0.043394625186920166
4000,-1.0,2.0,8,0.043838173151016235
5000,-0.75,2.25,8,0.03848612308502197
6000,-1.0,2.0,8,0.015223451890051365
7000,-0.75,2.25,8,0.011544364504516125
8000,-0.67,2.0,9,0.019931510090827942
9000,-0.56,2.0,9,0.018164264038205147
10000,-0.22,2.0,9,0.015028310939669609
11000,-0.12,2.0,8,0.04633956030011177
12000,-0.22,2.0,9,0.015263947658240795
13000,0.0,2.0,8,0.010975758545100689
14000,-0.12,2.0,8,0.023670315742492676
15000,-0.12,2.0,8,0.009218870662152767
16000,0.0,2.0,8,0.016078926622867584
17000,0.12,2.12,8,0.004610709846019745
18000,0.0,2.0,8,0.015405219048261642
19000,0.12,2.12,8,0.023021100088953972
20000,0.0,2.0,8,0.003701042616739869
21000,0.0,2.0,8,0.01467935461550951
22000,0.11,2.67,9,0.01776013895869255
23000,0.12,2.12,8,0.006201782263815403
24000,0.62,2.62,8,0.010799079202115536
25000,0.11,2.44,9,0.01053420640528202
26000,0.38,2.5,8,0.036271367222070694
27000,0.12,2.12,8,0.015963416546583176
28000,0.38,2.75,8,0.012697599828243256
29000,0.5,2.5,8,0.013610969297587872
30000,0.38,2.38,8,0.014246104285120964
31000,0.25,2.38,8,0.005709933582693338
32000,0.82,3.18,11,0.0093191247433424
33000,0.38,2.38,8,0.017708616331219673
34000,0.62,2.62,8,0.02211889810860157
35000,1.5,3.75,8,0.016445796936750412
36000,0.38,2.38,8,0.009096857160329819
37000,0.75,2.75,8,0.02278645522892475
38000,1.25,3.5,8,0.008343399502336979
39000,0.75,2.88,8,0.02121928334236145
40000,1.22,3.56,9,0.018198298290371895
41000,0.38,2.38,8,0.02762642689049244
42000,0.25,2.25,8,0.016628485172986984
43000,0.9,3.2,10,0.04642823338508606
44000,1.12,3.25,8,0.01416037604212761
45000,3.25,6.25,8,0.020565226674079895
46000,2.1,4.4,10,0.02591358870267868
47000,4.5,7.5,8,0.017723359167575836
48000,2.5,4.88,8,0.01716029644012451
49000,3.0,6.0,8,0.05077457055449486
50000,3.75,6.75,8,0.06253057718276978
51000,2.62,5.62,8,0.022708747535943985
52000,2.2,4.6,10,0.060773447155952454
53000,3.38,6.38,8,0.04693402722477913
54000,4.38,7.38,8,0.024588346481323242
55000,2.7,5.3,10,0.03759705647826195
56000,4.25,7.25,8,0.07548478245735168
57000,3.36,5.91,11,0.029686864465475082
58000,6.75,9.75,8,0.05726451799273491
59000,5.75,8.75,8,0.026574721559882164
60000,4.0,7.0,8,0.022875934839248657
61000,3.62,6.62,8,0.042524710297584534
62000,2.85,5.38,13,0.030355270951986313
63000,4.62,7.62,8,0.0759398564696312
64000,7.62,10.62,8,0.04325314611196518
65000,3.62,6.62,8,0.0805957242846489
66000,3.12,6.12,8,0.03479459136724472
67000,5.12,8.12,8,0.031132787466049194
68000,5.5,8.5,8,0.020997624844312668
69000,7.12,10.12,8,0.02066303789615631
70000,6.88,9.88,8,0.10001625865697861
71000,5.88,8.88,8,0.030377287417650223
72000,6.25,9.25,8,0.026289939880371094
73000,9.5,12.5,8,0.04158901050686836
74000,6.89,9.89,9,0.029753170907497406
75000,4.88,7.88,8,0.057593606412410736
76000,5.25,8.25,8,0.02190752513706684
77000,7.25,10.25,8,0.08326661586761475
78000,9.62,12.62,8,0.10190683603286743
79000,8.38,11.38,8,0.033010076731443405
80000,7.12,10.12,8,0.0266357883810997
81000,6.0,9.0,8,0.046689361333847046
82000,7.88,10.88,8,0.11527898907661438
83000,10.62,13.62,8,0.11533620208501816
84000,4.12,7.12,8,0.029931005090475082
85000,5.0,8.0,8,0.03808247298002243
